id,label,obsolete,ordering
stringField1,stringField1,0,0
stringField2,stringField2,0,10
stringField3,stringField3,0,20
stringField4,stringField4,0,30
stringField5,stringField5,0,40
stringField6,stringField6,0,50
stringField7,stringField7,0,60
stringField8,stringField8,0,70
stringField9,stringField9,0,80
stringField10,stringField10,0,90
stringField11,stringField11,0,100
stringField12,stringField12,0,110
stringField13,stringField13,0,120
stringField14,stringField14,0,130
stringField15,stringField15,0,140
stringField16,stringField16,0,150
stringField17,stringField17,0,160
stringField18,stringField18,0,170
stringField19,stringField19,0,180
stringField20,stringField20,0,190
doubleField1,doubleField1,0,200
doubleField2,doubleField2,0,210
doubleField3,doubleField3,0,220
doubleField4,doubleField4,0,230
doubleField5,doubleField5,0,240
doubleField6,doubleField6,0,250
doubleField7,doubleField7,0,260
doubleField8,doubleField8,0,270
doubleField9,doubleField9,0,280
doubleField10,doubleField10,0,290
dateField1,dateField1,0,300
dateField2,dateField2,0,310
dateField3,dateField3,0,320
dateField4,dateField4,0,330
dateField5,dateField5,0,340
dateField6,dateField6,0,350
dateField7,dateField7,0,360
dateField8,dateField8,0,370
dateField9,dateField9,0,380
dateField10,dateField10,0,390
vocabularyField1,vocabularyField1,0,400
vocabularyField2,vocabularyField2,0,410
vocabularyField3,vocabularyField3,0,420
vocabularyField4,vocabularyField4,0,430
vocabularyField5,vocabularyField5,0,440
vocabularyField6,vocabularyField6,0,450
vocabularyField7,vocabularyField7,0,460
vocabularyField8,vocabularyField8,0,470
vocabularyField9,vocabularyField9,0,480
vocabularyField10,vocabularyField10,0,490
userField1,userField1,0,500
userField2,userField2,0,510
userField3,userField3,0,520
userField4,userField4,0,530
userField5,userField5,0,540
userField6,userField6,0,550
userField7,userField7,0,560
userField8,userField8,0,570
userField9,userField9,0,580
userField10,userField10,0,590
integerField1,integerField1,0,600
integerField2,integerField2,0,610
integerField3,integerField3,0,620
integerField4,integerField4,0,630
integerField5,integerField5,0,640
integerField6,integerField6,0,650
integerField7,integerField7,0,660
integerField8,integerField8,0,670
integerField9,integerField9,0,680
integerField10,integerField10,0,690
booleanField1,booleanField1,0,700
booleanField2,booleanField2,0,710
booleanField3,booleanField3,0,720
booleanField4,booleanField4,0,730
booleanField5,booleanField5,0,740
booleanField6,booleanField6,0,750
booleanField7,booleanField7,0,760
booleanField8,booleanField8,0,770
booleanField9,booleanField9,0,780
booleanField10,booleanField10,0,790
fileField1,fileField1,0,800
fileField2,fileField2,0,810
fileField3,fileField3,0,820
fileField4,fileField4,0,830
fileField5,fileField5,0,840
fileField6,fileField6,0,850
fileField7,fileField7,0,860
fileField8,fileField8,0,870
fileField9,fileField9,0,880
fileField10,fileField10,0,890
documentField1,documentField1,0,900
documentField2,documentField2,0,910
documentField3,documentField3,0,920
documentField4,documentField4,0,930
documentField5,documentField5,0,940
documentField6,documentField6,0,950
documentField7,documentField7,0,960
documentField8,documentField8,0,970
documentField9,documentField9,0,980
documentField10,documentField10,0,990












